rank,title,price,original_price,discount,release_date,tags,review_score,review_count,app_id,url,image_url,price_numeric,original_price_numeric,review_score_numeric
1,Counter-Strike 2,N/A,N/A,0,"Aug 21, 2012",[],Very Positive,86,730,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1749053861,0,0,8
2,Dune: Awakening,N/A,N/A,0,"Jun 10, 2025",[],Very Positive,84,1172710,https://store.steampowered.com/app/1172710/Dune_Awakening/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172710/2cdfa2dbd17712c40a739aa4c56ada05b5b2f4cc/capsule_sm_120_alt_assets_1.jpg?t=1749247709,0,0,8
3,DELTARUNE,N/A,N/A,0,"Jun 4, 2025",[],Overwhelmingly Positive,98,1671210,https://store.steampowered.com/app/1671210/DELTARUNE/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1671210/capsule_sm_120.jpg?t=1749252480,0,0,10
4,ELDEN RING NIGHTREIGN,N/A,N/A,0,"May 29, 2025",[],Mostly Positive,77,2622380,https://store.steampowered.com/app/2622380/ELDEN_RING_NIGHTREIGN/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2622380/8ebc4260af27bc55ba8b88982fd7eb7f970d43c9/capsule_sm_120.jpg?t=1749150157,0,0,6
5,Clair Obscur: Expedition 33,N/A,N/A,0,"Apr 24, 2025",[],Overwhelmingly Positive,95,1903340,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1903340/001d4a5d81e4bb9055b789240e78e04ef6e6da38/capsule_sm_120.jpg?t=1748602947,0,0,10
6,Marvel Rivals,N/A,N/A,0,"Dec 5, 2024",[],Mostly Positive,79,2767030,https://store.steampowered.com/app/2767030/Marvel_Rivals/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/c984653538cfda1d1b195bd396b58936c2c65ae7/capsule_sm_120.jpg?t=1748596178,0,0,6
7,HELLDIVERS™ 2,N/A,N/A,0,"Feb 8, 2024",[],Mostly Positive,77,553850,https://store.steampowered.com/app/553850/HELLDIVERS_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/3bfaabaa23c8e1ca72c558782d7c7ff4cbc2e89a/capsule_sm_120.jpg?t=1748015354,0,0,6
8,Schedule I,N/A,N/A,0,"Mar 24, 2025",[],Overwhelmingly Positive,98,3164500,https://store.steampowered.com/app/3164500/Schedule_I/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3164500/986ee9a7a25cb0e61d1530cc3cd7e3e06aa68733/capsule_sm_120.jpg?t=1748368581,0,0,10
9,Warframe,N/A,N/A,0,"Mar 25, 2013",[],Very Positive,87,230410,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/6a7b91ee0d56a1df7d28eccc0ca3208056193d2c/capsule_sm_120.jpg?t=1748645305,0,0,8
10,Dead by Daylight,N/A,N/A,0,"Jun 14, 2016",[],Mostly Positive,79,381210,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/capsule_sm_120.jpg?t=1746584187,0,0,6
11,R.E.P.O.,N/A,N/A,0,"Feb 26, 2025",[],Overwhelmingly Positive,96,3241660,https://store.steampowered.com/app/3241660/REPO/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3241660/28c1bb423e9af8646047e9e881c3a0ac121647f6/capsule_sm_120.jpg?t=1747381002,0,0,10
12,The Elder Scrolls® Online,N/A,N/A,0,"May 22, 2017",[],Very Positive,82,306130,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/306130/f38d05973ad01d20a0c9a49446a80017cb5f8f7d/capsule_sm_120.jpg?t=1748957104,0,0,8
13,Rust,N/A,N/A,0,"Feb 8, 2018",[],Very Positive,87,252490,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/252490/21aac0b6e20e1ba12f635e7deb730e32a51afbd5/capsule_sm_120.jpg?t=1747389753,0,0,8
14,Destiny 2,N/A,N/A,0,"Oct 1, 2019",[],Mostly Positive,79,1085660,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1085660/capsule_sm_120.jpg?t=1748375367,0,0,6
15,Apex Legends™,N/A,N/A,0,"Nov 4, 2020",[],Mixed,67,1172470,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1172470/8d77e0d1ebca6d389b6330cf408936eb93484aee/capsule_sm_120.jpg?t=1749122685,0,0,5
